,temp,salt,p
212,-0.437,34.397,260.699
213,-0.425,34.402,261.785
214,-0.408,34.411,262.83
215,-0.404,34.421,263.916
216,-0.403,34.42,264.919
217,-0.39,34.431,266.089
218,-0.377,34.442,267.134
219,-0.361,34.455,268.262
220,-0.352,34.459,269.307
221,-0.33,34.462,270.435
222,-0.316,34.47,271.522
223,-0.304,34.482,272.608
224,-0.298,34.48,273.611
225,-0.282,34.489,274.656
226,-0.279,34.491,275.742
227,-0.276,34.494,276.745
228,-0.264,34.499,277.999
229,-0.252,34.505,279.127
230,-0.237,34.509,280.256
231,-0.238,34.509,281.342
232,-0.217,34.52,282.387
233,-0.214,34.527,283.39
234,-0.202,34.529,284.477
235,-0.194,34.533,285.689
236,-0.185,34.538,286.692
237,-0.171,34.547,287.695
238,-0.169,34.547,288.781
239,-0.155,34.552,289.91
240,-0.149,34.56,290.913
241,-0.141,34.561,292.041
242,-0.124,34.569,293.128
243,-0.117,34.568,294.131
244,-0.097,34.575,295.134
245,-0.097,34.579,296.262
246,-0.093,34.586,297.307
247,-0.078,34.587,298.31
248,-0.066,34.594,299.439
249,-0.055,34.598,300.525
250,-0.051,34.6,301.57
251,-0.032,34.609,302.573
252,-0.029,34.607,303.618
253,-0.011,34.613,304.705
254,-0.011,34.617,305.708
255,0.001,34.621,306.753
256,0.003,34.624,307.882
257,0.014,34.625,309.052
258,0.029,34.637,310.139
259,0.028,34.635,311.142
260,0.039,34.64,312.312
261,0.043,34.643,313.524
262,0.053,34.648,314.569
263,0.061,34.654,315.74
264,0.067,34.654,316.743
265,0.068,34.656,317.746
266,0.08,34.662,318.833
267,0.082,34.664,319.962
268,0.093,34.67,320.965
269,0.098,34.671,322.052
270,0.1,34.674,323.18
271,0.11,34.678,324.225
272,0.112,34.68,325.229
273,0.124,34.684,326.315
274,0.125,34.684,327.402
275,0.129,34.689,328.489
276,0.135,34.689,329.618
277,0.137,34.693,330.663
278,0.151,34.696,331.708
279,0.145,34.697,332.711
280,0.16,34.7,333.715
281,0.163,34.707,334.718
282,0.176,34.708,335.888
283,0.187,34.709,336.975
284,0.188,34.711,338.021
285,0.202,34.717,339.107
286,0.194,34.719,340.278
287,0.199,34.72,341.323
288,0.206,34.72,342.494
289,0.208,34.721,343.581
290,0.215,34.725,344.751
291,0.221,34.726,345.838
292,0.219,34.727,346.967
293,0.229,34.732,348.221
294,0.228,34.731,349.225
295,0.242,34.734,350.353
296,0.245,34.737,351.608
297,0.253,34.743,352.737
298,0.251,34.742,353.74
299,0.264,34.743,354.743
300,0.265,34.749,355.747
301,0.269,34.749,356.75
302,0.268,34.748,357.795
303,0.279,34.751,358.799
304,0.279,34.753,359.802
305,0.285,34.756,360.973
306,0.285,34.759,362.06
307,0.292,34.761,363.189
308,0.294,34.76,364.36
309,0.294,34.76,365.489
310,0.295,34.759,366.534
311,0.299,34.766,367.663
312,0.299,34.762,368.75
313,0.302,34.765,369.754
314,0.309,34.766,370.883
315,0.315,34.772,372.053
316,0.312,34.771,373.224
317,0.313,34.772,374.395
318,0.321,34.772,375.44
319,0.323,34.775,376.611
320,0.324,34.777,377.656
321,0.327,34.778,378.66
322,0.334,34.779,379.705
323,0.334,34.78,380.834
324,0.333,34.78,381.88
325,0.338,34.784,383.009
326,0.338,34.785,384.18
327,0.345,34.788,385.309
328,0.344,34.786,386.312
329,0.341,34.788,387.441
330,0.342,34.788,388.654
331,0.341,34.79,389.783
332,0.348,34.79,390.871
333,0.353,34.794,391.958
334,0.354,34.793,393.045
335,0.353,34.791,394.049
336,0.357,34.798,395.094
337,0.362,34.794,396.098
338,0.368,34.798,397.227
339,0.365,34.799,398.314
340,0.368,34.8,399.36
341,0.372,34.803,400.531
342,0.381,34.803,401.66
343,0.38,34.806,402.747
344,0.379,34.804,403.793
345,0.384,34.808,404.922
346,0.387,34.808,406.135
347,0.39,34.809,407.348
348,0.387,34.809,408.602
349,0.393,34.809,409.606
350,0.392,34.814,410.61
351,0.399,34.814,411.865
352,0.4,34.812,413.119
353,0.408,34.816,414.332
354,0.407,34.817,415.378
355,0.406,34.817,416.382
356,0.406,34.815,417.385
357,0.404,34.819,418.64
358,0.408,34.817,419.895
359,0.406,34.82,421.192
360,0.411,34.82,422.446
361,0.413,34.82,423.617
362,0.416,34.821,424.914
363,0.422,34.824,425.918
364,0.421,34.825,427.131
365,0.421,34.825,428.428
366,0.42,34.824,429.515
367,0.419,34.826,430.603
368,0.42,34.824,431.69
369,0.423,34.826,432.82
370,0.426,34.828,433.907
371,0.426,34.829,435.036
372,0.426,34.83,436.124
373,0.43,34.829,437.295
374,0.43,34.832,438.676
375,0.432,34.831,439.721
376,0.434,34.836,441.018
377,0.437,34.835,442.106
378,0.436,34.837,443.11
379,0.44,34.84,444.239
380,0.44,34.837,445.285
381,0.442,34.837,446.54
382,0.441,34.842,447.753
383,0.448,34.841,448.883
384,0.444,34.843,450.054
